% Model,Untitled.mph
% Version,COMSOL 5.6.0.401
% Date,"Jan 28 2022, 23:51"
% Table,Table 2 - Surface Integration 1
% shift (m),I_0 (A),d_cover (m),r_0 (m),-mf.Jphi*mf.Br (N)
1.0E-4,0.75,0.001,2.0E-4,0.7838975381476507
1.0E-4,0.75,0.001,3.0000000000000003E-4,0.15484395815278815
1.0E-4,0.75,0.001,4.0E-4,0.04899359613437883
1.0E-4,0.75,0.001,5.0E-4,0.02006777697660102
1.0E-4,0.75,0.0011,1.0E-4,4.393968889784061
1.0E-4,0.75,0.0011,2.0E-4,0.2746230556123999
1.0E-4,0.75,0.0011,3.0000000000000003E-4,0.0542465295034952
1.0E-4,0.75,0.0011,4.0E-4,0.017163940975751777
1.0E-4,0.75,0.0011,5.0E-4,0.007030350223653548
1.0E-4,0.75,0.0012000000000000001,1.0E-4,0.5241999143020359
1.0E-4,0.75,0.0012000000000000001,2.0E-4,0.032762494643957
1.0E-4,0.75,0.0012000000000000001,3.0000000000000003E-4,0.006471603879988982
1.0E-4,0.75,0.0012000000000000001,4.0E-4,0.0020476559151549824
1.0E-4,0.75,0.0012000000000000001,5.0E-4,8.38719862846562E-4
1.0E-4,0.75,0.0013,1.0E-4,1.8326367510640449
1.0E-4,0.75,0.0013,2.0E-4,0.11453979693519571
1.0E-4,0.75,0.0013,3.0000000000000003E-4,0.02262514507497254
1.0E-4,0.75,0.0013,4.0E-4,0.007158737308877679
1.0E-4,0.75,0.0013,5.0E-4,0.0029322188017162206
1.0E-4,0.75,0.0014000000000000002,1.0E-4,3.3746890858231264
1.0E-4,0.75,0.0014000000000000002,2.0E-4,0.21091806786608022
1.0E-4,0.75,0.0014000000000000002,3.0000000000000003E-4,0.04166282822078411
1.0E-4,0.75,0.0014000000000000002,4.0E-4,0.013182379241738646
1.0E-4,0.75,0.0014000000000000002,5.0E-4,0.005399502537316161
1.0E-4,0.75,0.0015,1.0E-4,3.021999844176288
1.0E-4,0.75,0.0015,2.0E-4,0.1888749902521421
1.0E-4,0.75,0.0015,3.0000000000000003E-4,0.0373086400497804
1.0E-4,0.75,0.0015,4.0E-4,0.011804686890753065
1.0E-4,0.75,0.0015,5.0E-4,0.004835199750447188
1.0E-4,1,5.0E-4,1.0E-4,30.638069360012544
1.0E-4,1,5.0E-4,2.0E-4,1.9148793350051203
1.0E-4,1,5.0E-4,3.0000000000000003E-4,0.3782477698775466
1.0E-4,1,5.0E-4,4.0E-4,0.11967995843777414
1.0E-4,1,5.0E-4,5.0E-4,0.04902091097613149
1.0E-4,1,6.000000000000001E-4,1.0E-4,22.063065905618277
1.0E-4,1,6.000000000000001E-4,2.0E-4,1.3789416191011477
1.0E-4,1,6.000000000000001E-4,3.0000000000000003E-4,0.2723835296998044
1.0E-4,1,6.000000000000001E-4,4.0E-4,0.08618385119423888
1.0E-4,1,6.000000000000001E-4,5.0E-4,0.03530090544909624
1.0E-4,1,7.0E-4,1.0E-4,20.68418252476125
